model,method,action_list_len,image_size,MAE,match_ratio
gpt4o,cot,3.0,537600.0,86.97491647012579,1.0
gpt4o,cot,4.0,1082880.0,57.29157576650943,1.0
gpt4o,cot,35.0,10786560.0,62.12171860033525,0.54286
gpt4o,cot,1.0,825600.0,75.44158805031446,1.0
gpt4o,cot,50.0,10742400.0,95.24633184523807,0.54
gpt4o,cot,5.0,552960.0,62.91981860632184,1.0
gpt4o,cot,149.0,3709440.0,67.46175258366142,0.1409399999999999
gpt4o,cot,14.0,2213760.0,51.86125390200869,0.71429
gpt4o,cot,9.0,1910400.0,56.85174495753716,1.0
gpt4o,cot,5.0,752640.0,89.03086674528302,1.0
gpt4o,cot,193.0,6568320.0,90.1841132222706,0.13472
gpt4o,cot,4.0,1628160.0,47.12745430424528,1.0
gpt4o,cot,44.0,1847040.0,20.11713345125786,1.0
gpt4o,cot,5.0,1612800.0,30.33782429245283,1.0
gpt4o,cot,26.0,1440000.0,46.32422366352201,1.0
gpt4o,cot,1.0,3300480.0,173.50128360398472,1.0
gpt4o,cot,4.0,983040.0,66.58367482311321,1.0
gpt4o,cot,117.0,10588800.0,108.8803985252809,0.07692
gpt4o,cot,1.0,2163840.0,99.84938151041666,1.0
gpt4o,cot,24.0,3826560.0,66.53367232580325,0.54167
gpt4o,cot,58.0,7207680.0,99.30593357376542,0.12069
gpt4o,cot,3.0,2263680.0,40.79280702627389,1.0
gpt4o,cot,6.0,1910400.0,44.43448870810376,1.0
gpt4o,cot,18.0,2553600.0,42.70099348222693,0.88889
gpt4o,cot,5.0,1910400.0,14.174631485849057,1.0
gpt4o,cot,23.0,4755840.0,101.15626808449076,0.6087
gpt4o,cot,4.0,464640.0,91.05296688988096,1.0
gpt4o,cot,6.0,2350080.0,22.52017230636503,1.0
gpt4o,cot,2.0,3025920.0,69.98471137152778,1.0
gpt4o,cot,8.0,2204160.0,5.708426947167756,1.0
gpt4o,cot,6.0,990720.0,65.5789455581761,1.0
gpt4o,cot,27.0,2678400.0,54.88132665490591,0.66667
gpt4o,cot,5.0,1075200.0,60.65096305031447,1.0
gpt4o,cot,1.0,1175040.0,66.3626596894654,1.0
gpt4o,cot,5.0,1910400.0,29.8750786163522,0.8
gpt4o,cot,4.0,2273280.0,47.05669642857143,1.0
gpt4o,cot,1.0,1910400.0,58.89977900187174,1.0
gpt4o,cot,1.0,1104000.0,53.66486094732704,1.0
gpt4o,cot,6.0,898560.0,93.97190693789308,1.0
gpt4o,cot,26.0,4763520.0,101.32731448600587,0.76923
gpt4o,cot,5.0,706560.0,79.75607065644654,1.0
gpt4o,cot,6.0,883200.0,70.40120718573446,1.0
gpt4o,cot,6.0,2686080.0,33.11313987097855,1.0
gpt4o,cot,38.0,11275614.0,106.76540424449232,0.5
gpt4o,cot,4.0,483840.0,91.45264101808176,1.0
gpt4o,cot,7.0,1036800.0,77.20493563286163,0.85714
gpt4o,cot,68.0,3528960.0,91.3280147215136,0.29412
gpt4o,cot,2.0,574080.0,64.25586920204402,1.0
gpt4o,cot,4.0,1910400.0,25.93507517688679,1.0
gpt4o,cot,1.0,1409280.0,44.91901287342768,1.0
gpt4o,cot,4.0,1910400.0,23.554262480345912,1.0
gpt4o,cot,3.0,1228800.0,56.33188384433962,1.0
gpt4o,cot,9.0,1175040.0,48.81033559355346,1.0
gpt4o,cot,4.0,1098240.0,56.01386104559749,1.0
gpt4o,cot,5.0,1570560.0,29.892806603773582,1.0
gpt4o,cot,4.0,1607040.0,44.31248525943396,1.0
gpt4o,cot,11.0,1910400.0,10.366067216981133,0.81818
gpt4o,cot,3.0,1420800.0,59.47680326257861,1.0
gpt4o,cot,5.0,1019520.0,63.01791961477988,1.0
gpt4o,cot,44.0,15083520.0,115.71127462491846,0.97727
gpt4o,cot,49.0,3761280.0,87.57397704590818,0.36735
